# Imperial Male NPCs
# Format: Firstname Lastname | source (vanilla or tr)

Accius Emnor | tr
Celix Verius | tr
Cervius Veris | tr
Cervo Cantaber | tr
Chorrav Harmitus | tr
Cidius Callei | tr
Cidius Caro | vanilla
Circus Leonos | tr
Cirius Undan | tr
Cirrus Terius | tr
Clagius Clanler | vanilla
Clavus Farragian | tr
Clecentor Aerius | vanilla
Clepitus Mados | tr
Clibergus Celata | tr
Clibergus Urgelian | vanilla
Clivius Corruvian | tr
Cocistian Quaspus | vanilla
Cocius Matius | tr
Codus Callonus | vanilla
Coirtene Liore | vanilla
Collatinus Vevus | tr
Constantine Mentorus | tr
Corand Jorus | tr
Cordo Torcusius | tr
Cornelius Leander | tr
Cornelius Sympsus | tr
Cornelius Vulpo | tr
Cornexius Hantav | tr
Corovan Telios | tr
Corridus Picola | tr
Corrudus Secunia | vanilla
Cortos Tardion | tr
Corudus Vaterian | tr
Corvo Melurus | tr
Cosimus Attero | tr
Crassi Conciatius | tr
Crassius Curio | vanilla
Creto Deselus | tr
Crisator Drapula | tr
Crito Vinipter | tr
Crotobar Plebo | tr
Crottus Cedus | vanilla
Crovesius Denian | tr
Crulius Furotius | tr
Crulius Pontanian | vanilla
Cunius Pelelius | vanilla
Cunus Pompus | tr
Curo Marinus | tr
Cyrtus Clagno | tr
Dalsotor Angaurius | tr
Dariem Callius | tr
Darius Cedus | tr
Darius Maximius | tr
Darius Regulius | tr
Darnell Lorrellus | tr
Darran Flavius | tr
Dax Soranus | tr
Decanus Pictor | tr
Demetrius Muntian | tr
Depusanis Denian | vanilla
Desinus Verius | tr
Desis Carantinus | tr
Desolvus Andecis | tr
Display Suit of Armor | tr
Domican Vitresius | tr
Domus Terrinus | tr
Draco Ladonovius | tr
Duke Phyrios Mattimus | tr
Dulcitius Cullian | tr
Dundius Abelius | tr
Dunius Valodius | vanilla
Durus Marius | vanilla
Duvianus Platorius | vanilla
Dyus Rilian | tr
Elatius Nistrius | tr
Emercius Ludoviil | tr
Emmon Jucanis | tr
Enix Caripus | tr
Ennodius Caro | tr
Entosaro Tanian | tr
Erarius Verenius | tr
Ertius Artoria | tr
Ertius Fulbenus | vanilla
Esdrufus Harsinia | vanilla
Etrio Cranstho | tr
Eulix Festius | tr
Eulux Balinius | tr
Exemplar Andronicus | tr
Fabius Varian | tr
Fagus Dorso | tr
Falcius Sosia | tr
Falo Jarontus | tr
Falx Smitius | tr
Fandus Puruseius | vanilla
Faustus Cicero | tr
Felanius Civeran | tr
Ferdogest Ronator | tr
Feristyr Lucinius | tr
Flaccus Clodanian | tr
Flavius Celto | tr
Floens Vutelius | tr
Flortus Ancyla | tr
Flyrus Ionus | tr
Foedus Locutius | tr
Forcanus Laterius | tr
Frinnius Posuceius | vanilla
Furius Acilius | vanilla
Fusius Mulerus | tr
Gaius Pepander | tr
Gaius Salinus | tr
Galabrio Crurinus | tr
Galadius Rumariil | tr
Galan Brandt | tr
Gallo Peranius | tr
Gallus Macer | tr
Galvus Pottreid | tr
Ganciele Douar | vanilla
Garius Rulo | tr
Garrulus Meril | tr
Garrus Mellorus | tr
Garus Barinius | tr
Gaulus the Jailor | tr
Gebeon Estollius | tr
General Casik | tr
Geralt Tulius | tr
Gerardus Tilianus | tr
Gerus Sottius | tr
Glallian Maraennius | vanilla
Gnaeus Barossa | tr
Grito Pania | tr
Gualva Catraso | tr
Gurnius Talanian | tr
Halan Macrinus | tr
Hartius Tolius | tr
Hasilius Brahn | tr
Hasphat Antabolis | vanilla
Hastophos Velifer | tr
Helrus Jeral | tr
Hephimus Sansalas | tr
Herconius Jandacia | tr
Hestus Barabela | tr
Hilos Stecria | tr
Horanus Valorius | tr
Horato Flesias | tr
Horrav Abascus | tr
Horrav Currus | tr
Horrav Fillipian | tr
Horrav Iascus | tr
Huegon Ipastalan | tr
Humilis Acicius | tr
Hyrmiel Farragian | tr
Iannus Anser | tr
Iborus Trascus | tr
Ignatius Jureilius | tr
Ildonis Faleni | tr
Ildonis Vicuvis | tr
Ionas Callodus | tr
Iratian Albarnian | vanilla
Iration Jucanis | tr
Iribius Flareus | tr
Irius Halex | tr
Istatunnio Ivos | tr
Iulus Truptor | vanilla
Iustus Gabentius | tr
Jacchus Farragian | tr
Janas Malirus | tr
Jannav Miranus | tr
Jaxus Vonarus | tr
Jeras Ticedo | tr
Jonas Artorius | tr
Jonus Maximus | vanilla
Julian Arontus | tr
Julius Percipius | tr
Juncinus Merx | tr
Kalan Gurius | tr
Karlius Princeps | tr
Kartus Reconius | tr
Kastav Munia | tr
Kastus Folvius | tr
Kritius Aretino | tr
Kventus Lucilius | tr
Kvinius Jorval | tr
Lacchius Kalto | tr
Lancen Pariclopetus | tr
Larisus Dergius | vanilla
Larrius Varro | vanilla
Larsiand Stilus | tr
Larus Caepo | tr
Laudio Carus | tr
Lavalus Tripitus  | tr
Leius Corsus | tr
Leonus Luca | tr
Letreius Muco | vanilla
Letrius Mardus | tr
Levreius Secunia | tr
Levus Musilchiotus | vanilla
Lianus Adergulus | tr
Linno Javettubia | tr
Litemus Bero | tr
Lucan Ostorius | vanilla
Lucien Servano | tr
Lucius Chranis | tr
Lucius Cosellus | tr
Lucravius Fascius | tr
Lucrete Ponius | tr
Lucretinaus Olcinius | vanilla
Lurelius Ricchen | tr
Lurius Lalelius | vanilla
Lurius Rufus | tr
Luspinian Hertarian | vanilla
Malpenix Blonia | vanilla
Manilian Scerius | vanilla
Mannius Selus | tr
Maphix Ovimus | tr
Marcellus Viatus | tr
Marcius Arius | tr
Marcius Geta | tr
Marcus Atris | tr
Marcus Bennelus | tr
Marcus Conciatius | tr
Marcus Reprus | tr
Marcus Tabern | tr
Marcus Tarlo | tr
Marilus Arjus | tr
Maron Arluna | tr
Marsus Tullius | vanilla
Marus Flavos | tr
Marus Selitus | tr
Marvus Termian | tr
Maryn Obert | tr
Matus Mido | vanilla
Mavor Nivellus | tr
Maxilien Blasio | tr
Mecilvus Gabenagus | vanilla
Memistean Fellux | tr
Menervius Venius | tr
Merias Tolode | tr
Merias Tolor | tr
Merius Jades | tr
Mero Maro | tr
Merro Galvix | tr
Mertius Florius | tr
Miles Gloriosus | vanilla
Miles Satulio | tr
Mobus Baraci | tr
Molossus Kvinchal | tr
Molvar Crito | tr
Molvirian Flavus | tr
Molvirian Palenix | vanilla
Morio Stulti | tr
Moritius Albus | tr
Mortenius Becca | tr
Murberius Caudex | tr
Murberius Harmevus | vanilla
Murio Clavian | tr
Murudius Flaeus | vanilla
Musius Ferola | tr
Namanian Facian | vanilla
Narus Hermalian | tr
Naspis Apinia | vanilla
Natalinus Flavonius | vanilla
Nemmo Arthaler | tr
Nero Broder | tr
Nirtunus Crunus | vanilla
Nitterius Rato | vanilla
Nolullis Vandarian | tr
Nolus Atrius | tr
Nonicus Aldor | tr
Nurion Tilerius | tr
Oberius Vulso | tr
Oderius Blonia | tr
Old Kassius | tr
Omius Crosus | tr
Ordo Cradus | tr
Oricus Alerix | tr
Oritius Maro | vanilla
Orto Rumaria | tr
Osricus Callanius | tr
Othos Sertorius | tr
Otius Helbinius | tr
Otrebus Delagia | tr
Ovidus Dontor | tr
Padulius Voltandus | tr
Panthius Varin | tr
Panundus Marilien | tr
Paratus Barbula | tr
Parilus Erinian | tr
Parulius Francius | tr
Pelitilius Corruvian | tr
Percan Truptor | tr
Percian Lusinus | tr
Percius Berano | tr
Percius Mercius | vanilla
Perenius Varach | tr
Perevaine Narragu | tr
Pero Tyrolian | tr
Phrasus Loximus | tr
Pilper Muspidius | vanilla
Pilus Amatius | vanilla
Pitus Ilvina | tr
Plinus Ludoviil | tr
Pliton Sialius | tr
Plutus Ceno | tr
Pogonophilus Luctor | tr
Polius Tertius | tr
Polucius Dim | tr
Pontian Decolvus | tr
Pontius Golius | tr
Ponus Aruncio | tr
Processus Vitellius | vanilla
Procyon Nigilius | vanilla
Protio Calvisus | tr
Proventus Dectus | tr
Pulso Pollex | tr
Pustula Baenius | vanilla
Pyrrhus Andamander | tr
Qastas Aerethius | tr
Quentin Bruiant | tr
Quercus Duro | tr
Querilio Uvigios | tr
Quimber Delatus | tr
Quinctius Maelius | tr
Quirinus Vipter | tr
Qyntos Mor | tr
Ralten Affinia | tr
Ralus Algrus | tr
Rancius Osto | tr
Rarius Aldonus | tr
Raxle Berne | vanilla
Rentius Emnor | tr
Rexus Harsinia | tr
Rialto Vendicci | tr
Rogatus Cipius | tr
Romus Criol | tr
Ronus Yridius | tr
Rufinus Alleius | vanilla
Rumus Stannicus | tr
Sabinus Vanceo | tr
Saccius Bastis | tr
Saenus Dibuntus | tr
Salius Magrodius | tr
Sallus Pepander | tr
Salvius Arcafex | tr
Saprius Entius | vanilla
Sauleius Cullian | vanilla
Scelian Granius | tr
Scelian Plebo | vanilla
Segunivus Mantedius | vanilla
Seliulus Laenius | vanilla
Sellus Gravius | vanilla
Seneclius Blavius | tr
Senilias Cadiusus | vanilla
Senillos Tulnus | tr
Sentius Veros | tr
Sepro Grater | tr
Sergianus Planicus | tr
Sergius Antellius | tr
Serpen Ordo | tr
Servo Nierius | tr
Severus Gemullus | tr
Sidonius Polinarus | tr
Silanus Antonius | tr
Silius Fulcinius | vanilla
Silus Palenix | tr
Sinarrius Autrinix | tr
Sirgius Vile | tr
Sirius Cinna | tr
Sirius Termian | tr
Sirollus Saccus | vanilla
Sitialius Catanius | vanilla
Snowy Granius | vanilla
Solius Zenitarion | tr
Somutis Vunnis | vanilla
Stabby-Jak Merrus | tr
Stanius Rufio | tr
Stentius Mento | tr
Stento Pasaennius | tr
Stentus Tullius | vanilla
Stlubo Otiustiris | vanilla
Strillian Macro | vanilla
Strixus Sorvilius | tr
Succius Orius | tr
Surus Velvus | vanilla
Synell Gioranus | tr
Synnolian Tunifus | vanilla
Tapinius Macrion | tr
Tappemius Vullius | tr
Tappius Esdrecus | vanilla
Tarbus Norin | tr
Tarpeius Ambustus | tr
Tasellis Burtilius | vanilla
Tatius Quettius | tr
Tatius Valius | tr
Telrav Calvus | tr
Telvus Peraniun | tr
Temis Lorthus | tr
Tennus Borgus | tr
Termalian Orthus | tr
Tertitius Panelus | tr
Ticemius Conciatius | vanilla
Tienius Cedus | tr
Timeo Callonus | tr
Tindalos Miranus | tr
Tininnus Scinia | vanilla
Tirandus Nesca | tr
Tirill Vantius | tr
Titus Lirinus | tr
Torcus Indarus | tr
Torus Lusius | tr
Torus Maridus | tr
Travinus Ioclania | tr
Trebonius Artorius | vanilla
Tullo Verotus | tr
Turedus Esdrecus | tr
Turedus Talanian | vanilla
Turo Attius | tr
Tyliam Deolus | tr
Tyrus Viducian | tr
Uncle Savirienus Soanix | tr
Urien Poralia | tr
Ursinius Corius | tr
Vala Herennius | vanilla
Valgo Catius | tr
Valgus Arquitius | tr
Valvius Matius | tr
Valvius Mevureius | vanilla
Vantus Arria | tr
Vantustius Pundus | vanilla
Varian Angius | vanilla
Varil Mercura | tr
Varilus Amphanox | tr
Varus Vantinius | vanilla
Vaselius Tunifus | tr
Vasesius Lannus | tr
Vasesius Viciulus | vanilla
Vax Carcharius | tr
Vectus Macro | tr
Velar Cradus | tr
Vencentius Mansinius | tr
Verginius Marcius | tr
Vermilius Vendicci | tr
Vertilvius Cines | vanilla
Verutus Braccia | tr
Vespertius Pertinax | tr
Vianis Ulius | tr
Vibius Serenus | tr
Vibius Verturius | tr
Vilius Ralsus | tr
Vinnus Laecinnius | vanilla
Visetus Setoris | tr
Vitelius Crudanian | tr
Vittarion Albin | tr
Vodun Pelagia | tr
Vodunius Nuccius | vanilla
Volosius Phinio | tr
Votus Titonian | tr
Vubius Mornius | tr
Vycius Pitio | tr
Wayrian Eulorius | tr
Wilus Relcari | tr
Xastos Evorissia | tr
Xotates Tulminian | tr
Zalindwier Kostus | tr
Zeno Carundus | tr
