# Dark Elf full names from Project Cyrodiil
# Used for duplicate checking

Abassel Asserbassalit
Garer Danoran
Garila Vedas
Garisa Llethri
Garnas Uvalen
Garvs Ramarys
Garyn Girith
Garyne Uvenim
Gathal Llethri
Gavas Drin
Gavesu Arelas
Gavis Velas
Gee-Pop Varis
Gidar Verothan
Giden Nelvilo
Gilan Daynes
Gilas Inlador
Gilas Llervu
Gilmyn Andrilo
Gils Drelas
Gils Oril
Gilse Darethi
Gilvas Barelo
Gilyan Sedas
Gilyn Drobar
Gilyne Omoren
Ginadura Andrethi
Gindas Ildram
Gindrala Hleran
Ginur Marys
Girara Teran
Giras Indaram
Giren Avilo
Giron Manas
Girvani Sedas
Giryn Nirith
Girynu Gilnith
Golana Giralvel
Golar Omoran
Goldyn Belaram
Golena Sadri
Goler Andrethi
Golmerea Othravel
Gols Nilvon
Golven Hleran
Golveso Senim
Golvyni Faryon
Gomeso Sarano
Goras Andrelo
Goren Andarys
Gorenea Andrano
Goron Lleran
Gorven Menas
Goval Ralen
Gragus Lleran
Grand Inquisitor
Granny Varis
Guldrise Dralor
Gulena Girith
Guls Llervu
Gulvilie Arinith
Gureryne Selvilo
Guril Retheran
Hainab Lasamsi
Hairan Mannanalit
Haleneri Salor
Hanarai Assutlanipal
Hannabi Zabynatus
Hannat Zainsubani
Hansi Saharnatturapli
Hassour Zainsubani
Hentus Yansurnummu
Hetman Abelmawia
Hetman Guls
Hinammu Shishara
Hinummu Siddurnanit
Hlaren Ramoran
Hlaroi Faryon
Hlavora Sadas
Hlendrisa Seleth
Hlenil Neladren
Hleras Gidran
Hlevala Madalvel
Hlireni Indavel
Hlodala Savel
Hloris Farano
Hort Ledd
Ibanammu Assutladainab
Ibarnadad Assirnarari
Ibasour Sershurrapal
Idrenie Nerothan
Idronea Sadri
Idros Givyn
Idroso Vendu
Idula Moren
Ienas Nadus
Ienas Sarandas
Ienasa Radas
Ienase Relnim
Ienaso Adren
Ilasour Tansumiran
Ildos Rothren
Ilen Faveran
Ilet Tistar
Ilmeni Dren
Ilmyna Romoren
Ilver Aralas
Indrele Rathryon
Iner Raledran
Inera Faryon
Irer Nervion
Irna Maryon
Irvama Othrelas
Irver Fevur
Irvsie Othran
Ivela Uvenim
Iveri Llothri
Ivramie Sarandas
Ivrosa Verethi
Ivulen Irano
Kanat Assalatammis
Kanit Niladon
Kanud Odimabesser
Kashtes Ilabael
Kausha Mantashpi
Kind Erushara
Kitbael Assurnumanit
Kummi-Namus Almu
Kund Assarnibani
Lassour Zenammu
Llaalam Dredil
Llaalam Madalas
Llaalamu Sathren
Llaals Ores
Llaalsa Dralor
Llanas Drilvi
Llandrale Varam
Llandras Belaal
Llandreri Selothan
Llandris Thirandus
Llanel Brenos
Llarar Bereloth
Llarara Omayn
Llarel Llenim
Llaren Terano
Llaro Llethri
Llaros Uvayn
Llarusea Andrethi
Llathise Dralas
Llathyno Hlaalu
Llavam Adas
Llavane Hlas
Llavelea Nelvani
Llavesa Drom
Llaynasa Othran
Lledsa Vari
Lledsea Relas
Llemisa Marys
Lleran Andoril
Llerar Mandas
Llerar Vinden
Lleras Andalen
Lleris Rathryon
Llero Lloran
Llerusa Hlaalu
Llether Vari
Llevana Salaren
Llevas Fels
Llevel Seri
Llevena Sendas
Llirala Sendas
Lliram Alvor
Lliros Tures
Lliryn Fendyn
Llivas Othravel
Lloden Tenim
Llonas Felder
Llondresa Reloth
Llondryn Hlaalo
Llorayna Sethan
Lloros Sarano
Llovyn Andus
Llunela Hleran
Madaynu Aravel
Madrale Thirith
Madran Ulvel
Madres Navur
Madsu Dreth
Madura Seran
Maela Kaushad
Maeonius Yentimilal
Maesat Shinirbael
Mal Mibishanit
Malay Ranarbatus
Mallam Ryon
Mals Faralen
Malsa Ules
Malven Romori
Mamaea Ularshanentus
Mamusa Shashmassamsi
Man-Ilu Ashananapal
Manabi Kummimmidan
Manabi Virith
Manara Othan
Manat Shimmabadas
Mandran Indrano
Mandur Omalen
Mandyn Ralas
Manel Amori
Maner Uvaren
Manirai Mirshamammu
Manolos Virith
Manos Othreleth
Manos Vavyn
Manse Andus
Mansilamat Vabdas
Manu Odirnapal
Manu Zainab
Maralie Ares
Marasa Aren
Marayn Dren
Maren Uvaren
Marena Gilnith
Marilia Saram
Maros Gimayn
Massour Asserrumusa
Mathesa Helvi
Mathis Dalobar
Mathyn Bemis
Mausur Ababael
Mausur Assaplit
Mavis Nadram
Mavon Drenim
Mavus Ules
Meder Nulen
Medila Indaren
Medresi Ofemalen
Medyn Gilnith
Mehra Drora
Mehra Helas
Mehra Milo
Melar Baram
Melsu Indalas
Melur Savil
Meluria Seleth
Melvona Marvayn
Melvuli Hlaalu
Melvure Rindu
Menus Felas
Meralyn Othan
Meril Hlaano
Mertis Falandas
Mertisi Andavel
Mervs Uvayn
Meryn Othralas
Methal Seran
Methas Hlaalu
Methulu Ienith
Mevel Fererus
Meven Uvaren
Mevil Molor
Mevrenea Aryon
Mevure Hlen
Mi-Ilu Massitisun
Miara Viake
Mibdinahaz Addunipu
Midar Aravel
Midnabi Sobdishapal
Milar Maryon
Milara Vedran
Mils Andrethi
Miluru Andus
Milvela Dralen
Milvonu Terandas
Milyn Faram
Milynea Andrethi
Minabibi Assardarainat
Minasi Bavani
Mindeli Saren
Minisun Ulirbabi
Miraso Seran
Mirnelea Terilu
Miron Garer
Mirvon Andrethi
Missamsi Timmiriran
Missun Akin
Missun Hainterari
Mivanu Andrelo
Mivanu Retheran
Mivul Urvon
Mondros Balur
Mornsu Omalor
Moroni Uvelas
Morusu Varen
Movis Darys
Movisa Andas
Mubdan Assantinalit
Mubdan Esurnadarpal
Muldroni Rendas
Mulvisie Othril
Munbebi Addarari
Mundrila Ienith
Musa Yahaz
Musan Zaintashara
Muvis Moran
Muvrulea Daryon
Nadene Rotheran
Nads Tharen
Nalami Veleth
Nalasa Sarothren
Nalis Gals
Nalmen Athren
Nalmila Thelas
Nalosi Alari
Nals Indrano
Nalsie Radas
Nalur Indrano
Nalvilie Saren
Nalvyna Sarinith
Naral Othreleth
Narile Sadoro
Naris Selaren
Narisa Adus
Narissa Adus
Nartise Arobar
Nathala Herendas
Nathyn Ilnith
Nathyne Uvelas
Navam Veran
Navil Ienith
Nedeni Tenim
Neldris Llervu
Nelmil Hler
Nelmyne Andules
Nelos Onmar
Nels Llendo
Nelso Salenim
Nelvon Radas
Nelyn Sadri
Nerer Beneran
Nerile Andaren
Nervana Verelas
Nethyn Valno
Nevama Sarobar
Nevena Ules
Nevil Malvayn
Nevon Verilnith
Nevos Urns
Nevosi Hlan
Nevrasa Dralor
Nevrila Areloth
Nevusa Veleth
Nibani Maesa
Nidara Herandus
Niden Naros
Nidryne Redas
Nilas Brilyn
Nileno Dorvayn
Nilera Ieneth
Nilos Talds
Nilvyn Drothan
Nind Dudnebisun
Ninimilk Addinibi
Nirai Ashishpalirdan
Niras Farys
Nirasa Aren
Nireli Farys
Nivel Madryon
Nivos Drivam
Noldrasi Bedas
Norus Marvel
Nothasea Beni
Novor Drethan
Novor Gorvas
Novrynea Falen
Nuleno Tedas
Nummu Assudiraplit
Nund Assurnipilu
Nurisea Selarys
Odairan Addaribantes
Odaishah Yasalmibaal
Odral Helvi
Odron Omoran
Ohibaal Assintashiran
Olvyne Dobar
Omesu Hlarys
Ondar Sarendas
Ondres Nerano
Orero Omothan
Orns Omaren
Orval Llaren
Orvas Dren
Orvona Vadryon
Ovis Velas
Patus Assumanallit
Pilu Shilansour
Pilun Ashapaladdon
Punibi Yahaz
Radene Hlaalu
Raishi Erarbadon
Ralam Vilas
Raldenu Ieneth
Ralds Oril
Ralen Hlaalo
Ralen Tilvur
Ralmyn Othren
Ralos Othrenim
Ralyn Farothran
Ralyn Othravel
Ranes Ienith
Ranis Athrys
Ranor Dralas
Ranosa Gilvayn
Rararyn Radarys
Raril Giral
Rarusu Berethi
Rarvela Teran
Raryn Daren
Rasamsi Esurarnat
Rathal Barus
Rathyne Thirano
Ravani Llethan
Raven Omayn
Raviso Andalas
Ravos Relarys
Ravoso Aryon
Rawia Ashirbibi
Rayna Drolan
Raynasa Rethan
Raynila Aryon
Raynilie Andromo
Relam Arinith
Relamu Ulom
Relas Arothan
Relen Hlaalu
Relms Gilvilo
Relosa Tharyon
Rels Tenim
Relur Faryon
Relvese Velni
Relyn Sarano
Remas Morvayn
Remasa Othril
Rerilie Llandu
Rernel Arano
Reron Rinith
Rervam Farethi
Rerynea Salas
Reynel Uvirith
Reynis Ralvani
Ridena Othren
Rilas Arethan
Rilasi Ralvayn
Rilos Delms
Rilvase Avani
Rilver Andothan
Rindral Dralor
Rinori Ienith
Riraynea Reladren
Rirnas Athren
Rirns Uveran
Rivame Samandas
Rolasa Oren
Rolis Garvon
Rols Ienith
Roner Arano
Rothis Nethan
Rovone Arvel
Runethyne Andas
Ruthrisu Andoril
Ruvene Ulven
Sadal Doren
Sadela Areth
Sadryn Volos
Sakin Sanammasour
Sal Pudashara
Salama Andrethi
Salas Valor
Salen Ravel
Salmat Elarrapal
Salmus Kaushmamanu
Salora Salobar
Salvas Areleth
Salver Lleran
Salyn Sarethi
Salyni Nelvayn
Samsi Ulannanit
Sanaso Sarothran
Sannit Kil
Santinti Assarbeberib
Sanvyn Llethri
Saras Orelu
Sarayn Sadus
Sargon Santumatus
Saruse Hloran
Sarvil Sadus
Sarvur Sadri
Saryn Sarothril
Sathas Rivul
Sathasa Nerothren
Satheri Rothandus
Sathyn Andrano
Savesea Mothryon
Savile Imayn
Savure Uvalor
Seba Anurnudai
Sedam Omalen
Sedrane Arvel
Sedris Omalen
Sedyni Veran
Seldus Nerendus
Seler Favelnim
Selk Muddumummu
Selman Relas
Selmen Relas
Selvil Sareloth
Selvura Andrano
Sendel Tedas
Sendus Sathis
Senise Thindo
Seras Gavos
Serer Andrano
Serila Arval
Sernsi Drelas
Serul Dathren
Seryn Othralen
Seryne Relas
Sethesi Adas
Sevame Saryon
Sevilo Othan
Sevisa Teran
Sevyni Saryon
Shali Assannabalit
Shanat Kaushminipu
Shannat Pansamsi
Shanud Ududnabia
Shara Atinsabia
Shin Assemmus
Shinammu Radansour
Shipal Zansatanit
Shishi Yanumibaal
Shulki Ashunbabi
Shullay Vabdas
Sinnammu Mirpal
Sodrara Andalas
Sodres Nerethi
Sondryn Irathi
Sonummu Zabamat
Sorosi Radobar
Sortis Rathryon
Sovali Uvayn
Sovisa Adas
Sovor Trandel
Stlennius Vibato
Subenend Urshummarnamus
Suldreni Salandas
Sulen Sarandus
Sulis Rendas
Sunel Hlas
Sur Surishpi
Suryn Athones
Suvryn Doves
Tadara Indaram
Tadas Llendu
Tadera Andules
Talamu Sethandas
Talare Arvel
Talis Drurel
Talis Veran
Talmeni Drethan
Talms Dralor
Talmsa Falas
Talsi Uvayn
Taluri Rothalor
Taluro Athren
Tamira Vian
Tanar Llervi
Tandasea Salas
Tandram Andalen
Tanel Faren
Tanisie Verethi
Tanur Llaram
Tanusea Veloth
Tarani Dralno
Tarar Doran
Taren Andoren
Taren Omothan
Tarer Braryn
Taros Dral
Tarvyn Faren
Tashpi Ashibael
Taves Aralen
Tavilu Moren
Tavynu Tedran
Tedril Vandram
Tedryn Brenur
Tedur Hlarar
Tedysa Andarys
Teleri Helvi
Telis Salvani
Tels Girano
Telura Ulver
Telvon Llethan
Temis Romavel
Tenaru Romoren
Tendren Hlervu
Tendris Vedran
Tenisi Lladri
Tens Nolar
Terenu Uveran
Terer Helothan
Tereri Irethi
Teres Arothan
Teril Savani
Teris Raledran
Teruise Girvayne
Tervur Braven
Teryne Hlaalu
Teshmus Assebiriddan
Tevyn Athin
Thadar Ertis
Thaden Ralas
Thalurea Thirvayn
Thanelen Velas
Tharer Rotheloth
Thavere Vedrano
Thelama Indalas
Thelama Indaren
Theldyn Virith
Thelsa Dral
Thelvamu Sarano
Thervam Drelas
Thilse Aralas
Tholer Saryoni
Thoryn Samori
Thovasi Alen
Threvul Serethi
Thurisea Thando
Tibdan Shalarnetus
Tidras Deltis
Tidros Indaram
Tilena Thalor
Tilore Andrethi
Tinaso Alan
Tinos Drothan
Tiram Gadar
Tiras Sadus
Tirasie Andalen
Tirele Aralas
Tirer Belvayn
Tirnur Thirano
Tirvel Balen
Tis Abalkala
Tissamsi Asharapli
Tivam Sadri
Tolmera Relenim
Tolvise Othralen
Tolvone Sarendas
Tonas Telvani
Tonasi Belas
Toranu Rothalnim
Torasa Aram
Toris Saren
Torosi Othreloth
Tralas Rendas
Tralayn Vavas
Traldrisa Tervayn
Traven Marvos
Traynili Senim
Tredere Llaren
Tredyn Venim
Trelam Falvani
Trels Varis
Tremona Maren
Trendrus Drals
Treram Milar
Treras Dres
Trerayna Dalen
Trevyn Fedos
Trilam Drolnor
Trivon Llaren
Trivura Arenim
Truan Tibashipal
Tubilalk Mirathrernenum
Tuls Valen
Tumsa Darethi
Tunila Omavel
Tunipy Shamirbasour
Tuvene Arethan
Tuvenie Varam
Tuveso Beleth
Ulenea Beloren
Uleni Heleran
Ulisamsi Saddarnuran
Ulmesi Baryon
Ulmiso Maloren
Ulms Drathen
Ulms Saren
Ultis Salam
Ulvena Arobar
Ulveni Daram
Ulves Marvel
Ulvil Llothas
Ulvon Uleni
Ulyne Henim
Ulyno Uvirith
Unel Lloran
Unila Berendas
Uradras Sadalas
Urandile Selandas
Urene Arvel
Uresa Omoril
Ureso Drath
Ureval Dralayn
Urnel Relas
Urshamusa Rapli
Urtisa Romayn
Urtiso Faryon
Urvel Dulni
Urven Davor
Uryn Maren
Uryne Nirith
Uthrel Sarys
Uupse Fyr
Uvele Berendas
Uvisea Benethran
Uvoo Llaren
Uvren Tures
Vabbar Dinadad
Vaden Belas
Vadeni Rethan
Vadramea Farano
Vadusa Sathryon
Valveli Arelas
Valvesu Indaram
Valvosa Maryon
Valyne Vedaren
Vanel Serven
Varasa Dreloth
Varenu Indaram
Vares Reram
Varis Ginith
Varon Sadralo
Varona Nelas
Varvsa Athram
Varvur Sarethi
Vatollia Apo
Vaval Orethi
Vaval Selas
Vaveli Dralas
Vaves Virith
Vavran Reni
Vedelea Othril
Vedran Balen
Velanda Omani
Velis Thirothan
Velms Sadryon
Velsa Orethi
Velsa Salaron
Velyn Farethan
Velyna Seran
Venasa Sarano
Vendrela Aravel
Verara Rendo
Veresa Alver
Veresa Salvani
Veros Nerethi
Vevos Nerethi
Vevrana Aryon
Vevul Alver
Vilval Relvani
Vilvyni Uveran
Vilyn Rervam
Vindamea Drethan
Vindyne Belvani
Vireveri Darethran
Virvyn Athren
Vivyne Andrano
Vobend Dulfass
Volene Llervu
Volmyni Dral
Vonden Mano
Voneri Renim
Vorar Helas
Voruse Bethrimo
Vuldronu Girith
Vulyne Rothari
Vuvil Senim
Widow Vabdas
Yahaz Ashurnasaddas
Yakin Bael
Yakum Hairshashishi
Yan Assinabi
Yan-Ahhe Darirnaddunumm
Yanabani Ashushshirari
Yanit Sehabani
Yapal Esatliballit
Yassour Hairshumusa
Yenabi Laserbillahemmi
Zabi Adidshina
Zainat Ahalkalun
Zairan Enturnabaelul
Zalabelk Saladnius
Zalit Salkatanat
Zallay Subaddamael
Zallit Assattadaishah
Zanat Assarnuridan
Zanmulk Sammalamus
Zebba Asharnalit
Zebba Benamamat
Zebdusipal Mantiti
Zelaku Assarrapanat
Zelay Sobbinisun
Zenabi Samma
Zennammu Urshumusa
