# Dark Elf Female NPCs
# Format: Firstname Lastname | source (vanilla or tr)

Aalmu Hlaryneth | tr
Danaronea Daryon | vanilla
Danasi Ralen | vanilla
Danasi Veran | tr
Dandera Selaro | vanilla
Dandera Vedrano | tr
Dandynea Rothalen | vanilla
Danise Sindala | tr
Danoso Andrano | vanilla
Danse Orani | tr
Danso Indules | vanilla
Darane Mencele | vanilla
Darane Navur | tr
Darane Sadralo | tr
Darayne Llarem | tr
Darela Saryon | tr
Darena Ulms | tr
Dareni Dulo | tr
Dareru Eves | tr
Dareru Ginith | tr
Dareru Omalas | vanilla
Daretha Garsun | tr
Dariah Vervul | tr
Darnea Valmoren | tr
Darnsea Aram | tr
Daroso Sethri | vanilla
Darva Arethan | tr
Darva Talds | tr
Darvala Romothran | vanilla
Darvame Hleran | vanilla
Darvasa Vedas | vanilla
Darvynea Hleran | vanilla
Dathlyn Vando | tr
Davilia Tareni | tr
Daydena Nulelas | tr
Dayis Thaar | tr
Daymi Urvyn | tr
Dayna Ilerothi | tr
Daynali Dren | vanilla
Daynali Sedri | tr
Daynas Darys | vanilla
Daynasa Telandas | vanilla
Daynasa Tharen | vanilla
Dayni Krilarvel | tr
Daynila Andrano | vanilla
Daynila Ovor | tr
Daynila Valas | vanilla
Daynillo Lleran | vanilla
Daynu Salandas | tr
Delara Irmelas | tr
Delatha Belden | tr
Delayna Gavel | tr
Deldasa Thirandus | vanilla
Delera Indalas | tr
Delis Llethri | tr
Delmene Helas | vanilla
Delmene Uveren | tr
Delmi Renthonen | tr
Delos Deralin | tr
Delte Fyr | vanilla
Delu the Mad | tr
Delvenu Bavani | tr
Delyna Mandas | vanilla
Delyna Savos | tr
Delyna Silvas | tr
Denara Delyn | tr
Denu Fareloth | tr
Denvira Thirandus | tr
Derame Ralis | tr
Derami Sarys | tr
Derana Galvith | tr
Derana Llenam | tr
Derar Hlervu | vanilla
Derara Ildram | tr
Derayna Llervu | vanilla
Derayna Sadras | tr
Dereni Felnim | tr
Deriea Tilmu | tr
Dervara Diron | tr
Dervera Sathen | tr
Deryne Uvalor | tr
Deya-Mel Besseral | tr
Deydre Sarano | tr
Didilu-Edinu Belharranit | tr
Dilale Balver | tr
Dilami Androm | vanilla
Dilami Thadus | tr
Dilave Ralvani | tr
Dilavesa Indalen | tr
Dilavesa Indoran | tr
Dileni Seringi | tr
Dileno Lloran | vanilla
Dileru Dras | tr
Dilvene Darys | tr
Dilvene Gilmanil | tr
Dilvene Inardres | tr
Dilvene Venim | vanilla
Dina Niveru | tr
Dinara Ardyn | tr
Dinara Nelan | tr
Dinara Othrelas | vanilla
Dinere Hlen | vanilla
Dinere Vlars | tr
Dineri Llathrenim | tr
Dinuro Ienith | vanilla
Dinya Andaren | tr
Dinya Herano | tr
Dira Folvani | tr
Diradeni Raran | tr
Diradenu Llarel | tr
Dirara Drom | vanilla
Dirara Uvalen | tr
Diren Farano | tr
Diren Mirys | tr
Diren Vendu | vanilla
Dirilu Elval | tr
Dirisa Sendu | tr
Dirnitha Aserath | tr
Dissu Ashalkimallit | vanilla
Dithisi Andral | tr
Dithrasa Nerthul | tr
Diveri Marvos | tr
Diveru Dalas | tr
Dolmeru Ralothran | tr
Dolmesa Denaven | tr
Dolmesa Llarvys | tr
Dolmesa Sarano | vanilla
Dolmesa Sathren | tr
Dolmse Andala | tr
Dolmse Sadalvel | tr
Dolsa Bereloth | tr
Dolsa Gilvani | vanilla
Dolsa Hlando | tr
Dolsia Beloth | tr
Dolvasie Veloren | vanilla
Dolvor Othril | tr
Domesea Norvalo | tr
Domesea Sarethi | vanilla
Doranu Othril | tr
Dorisa Darvel | vanilla
Dorisa Onder | tr
Dornoth Taeru | tr
Dorola Verym | tr
Doru Galavel | tr
Dorynu Verendas | vanilla
Dosa Teloth | tr
Dothasi Mothryon | vanilla
Dothasi Vantus | tr
Dovame Nithri | tr
Dovene Varon | tr
Dovrosi Dubnebisu | tr
Dovrosi Varyon | vanilla
Dradiva Hleryn | tr
Drala Galvomas | tr
Drala Hlaren | tr
Drala Uval | tr
Dralamra Morvayn | tr
Dralani Thalotheran | tr
Dralasa Arethan | tr
Dralasa Nithryon | vanilla
Draleru Nerandas | tr
Dralin Belvayn | tr
Dralin Thiravyn | tr
Dralisi Ienith | vanilla
Dralosa Arethi | tr
Dralosa Athren | vanilla
Dralossa Hler | tr
Dralsea Arethi | vanilla
Dralsea Helval | tr
Dralsea Redam | tr
Draralen Gurin | tr
Draramu Hloran | vanilla
Drarayne Helval | tr
Drarayne Henim | tr
Drarayne Thelas | vanilla
Draraynea Nelas | tr
Dratha Melenith | tr
Dratha Senoril | tr
Drathas Llothin | tr
Dravana Vedas | tr
Dravayn Eluvel | tr
Dravea Avur | tr
Dravosa Avilo | tr
Dravyna Sero | tr
Dravynea Fatheran | vanilla
Drayna Telendas | tr
Dredyni Salvani | vanilla
Drela Rissiras | tr
Drelam Ulvi | tr
Drelasa Hlamen | tr
Drelasa Ilnith | tr
Drelasa Ramothran | vanilla
Drelasa Varo | tr
Drelatha Nidresa | tr
Drelyna Ovam | tr
Drelyne Fareloth | tr
Drelyne Llenim | vanilla
Drendrisa Fareloth | vanilla
Drendrisa Indaren | tr
Dreveli Urano | tr
Dreveni Hlaren | vanilla
Drevosa Hlaren | tr
Dreyla Sadri | tr
Dridase Nevin | tr
Drilame Alen | tr
Drilame Githrano | vanilla
Driloru Uvaram | vanilla
Drinisou Theris | tr
Drireri Berano | vanilla
Driresi Llandra | tr
Drissa Vendil | tr
Drolora Oran | tr
Drolora Salen | vanilla
Drolora Teloth | tr
Droma Gethre | tr
Drorayni Omayn | tr
Drorayni Ranil | tr
Drorayni Tharam | vanilla
Drosa Venith | tr
Drothyl Sevol | tr
Drovamu Llarno | tr
Drula Kovarys | tr
Drulene Falen | vanilla
Drurile Lerano | tr
Drurile Valaai | vanilla
Drurile Vayas | tr
Dula Bremys | tr
Duldresi Senim | vanilla
Dulis Llendu | tr
Dulnea Ralaal | vanilla
Duni Llothren | tr
Duvesi Minoth | tr
Edosi Irano | tr
Edrasa Andrano | tr
Edrila Farandas | tr
Edrisi Daral | tr
Edryno Arethi | vanilla
Edryno Neleth | tr
Edrys Hlaalu | tr
Edrys Nethalen | tr
Edrys Teri | tr
Efeni Tilven | tr
Einnisa Gavyn | tr
Elanu Tilvani | tr
Eldraru Felmion | tr
Eldrasea Helas | vanilla
Eldri Tedran | tr
Eldrilu Dalen | vanilla
Elera Dorem | tr
Elevi Dirval | tr
Elitlaya Assonirishpal | vanilla
Elivah Baryon | tr
Elmani Athrelys | tr
Elmena Relas | tr
Elmera Beleran | tr
Elmera Venyon | tr
Elmera Verethi | vanilla
Elmussa Damori | vanilla
Elsa Ulvi | tr
Elumabi Maliiran | vanilla
Elvasea Thalas | vanilla
Elvera Andalor | tr
Elvesa Alanim | tr
Elvu Mannaren | tr
Elvule Llothar | tr
Elyn Farenim | tr
Elynea Norvayn | vanilla
Elynisi Deras | tr
Elynu Girando | tr
Elynu Saren | vanilla
Elynu Varan | tr
Elynu Varo | tr
Emeni Rethri | tr
Emeni Udani | tr
Enasa Vulunith | tr
Enasourr Narpal | tr
Endase Avel | vanilla
Endase Maloren | tr
Endase Rurvyn | tr
Endra Ilvuthi | tr
Endroni Dalas | vanilla
Endryna Salerys | tr
Endu Thirelas | tr
Endusi Thirith | tr
Eniram Ondala | tr
Enura Benoth | tr
Enura Nelas | tr
Eralane Hledas | vanilla
Eralane Irathi | tr
Erda Neriem | tr
Eremseva Odathil | tr
Erena Raneth | tr
Erene Omalen | tr
Eretha Indatis | tr
Erirvase Drinith | vanilla
Erirvase Sethan | tr
Erivu Samtys | tr
Ernasi Viran | tr
Ernse Llervu | vanilla
Ernse Valaai | tr
Eroni Vadryon | tr
Ervesa Romandas | vanilla
Ervesa Varonis | tr
Ervona Adrano | tr
Ervona Barys | vanilla
Ervona Nethani | tr
Ervona Rurvyn | tr
Ervu Sarani | tr
Ervu Telandas | tr
Ervyla Athelvis | tr
Ervyla Beni | tr
Ervyna Hlervu | vanilla
Ervyna Ramaran | tr
Ervyna Saran | tr
Ervysa Thavas | tr
Etana Kalushashpiti | tr
Ethal Seloth | vanilla
Ethala Faranis | tr
Ethasi Balvel | tr
Ethasi Rilvayn | vanilla
Ethasi Velavel | tr
Ethnemse Salvu | tr
Ethra Meelil | tr
Ethra Tervayn | tr
Evesa Baryon | tr
Evesa Omalas | vanilla
Eveshi Drilor | tr
Evilu Indrano | vanilla
Evilu Lladri | tr
Evisi Medeth | tr
Evon Llaalam | tr
Evori Zerum | tr
Evure Hlarar | tr
Evylu Valen | tr
Ezuduti Onarmidan | tr
Faalalsa Rorivel | tr
Faalalsa Salvi | tr
Faceless Dunmer | tr
Fadase Selvayn | vanilla
Fadile Balvel | vanilla
Fadile Norvalo | tr
Fadusa Belvi | tr
Fala Onmar | tr
Falanu Eindari | tr
Falanu Indaren | vanilla
Falanu Nalyn | tr
Falanu Selvis | tr
Falena Hlaren | vanilla
Falena Llaren | tr
Faleni Uleni | tr
Falora Daren | tr
Falura Andavel | tr
Falura Gilvani | tr
Falura Llervu | vanilla
Falura Lleste | tr
Falura Omayn | tr
Falura Tunel | tr
Falvani Theras | tr
Falvil Muran | tr
Falyna Gathrel | tr
Falys Othan | tr
Fanasa Ienith | vanilla
Fanisea Irano | vanilla
Fanisea Varys | tr
Fanlasi Maravil | tr
Fanuse Belor | tr
Fanuse Farano | vanilla
Fara Veralan | tr
Faral Dovayn | tr
Faral Retheran | vanilla
Faralenu Henim | vanilla
Faralenu Peronys | tr
Farare Othril | vanilla
Faras Thirano | vanilla
Farasira Sadas | tr
Farelu Onmar | tr
Farena Arelas | vanilla
Farenu Undreno | tr
Fari Niernis | tr
Farise Adryn | tr
Farona Randalo | tr
Farona Silandes | tr
Farusea Salas | vanilla
Farusi Darano | tr
Faryne Anthelasa | tr
Farys Radus | tr
Farys Uvaren | tr
Fathasa Llethri | vanilla
Fathusa Balvel | tr
Fathusa Girethi | vanilla
Favana Dorvasa | tr
Favana Selethi | tr
Favani Faryon | vanilla
Favayn Lleran | tr
Favela Dralor | vanilla
Favilea Sathendas | vanilla
Favira Saladas | tr
Favise Selaren | vanilla
Favona Beleroth | tr
Favona Gilnith | vanilla
Faylena Bevel | tr
Fedaves Shilansour | tr
Fedrasa Beryon | tr
Fedura Adarys | tr
Fedura Drenim | tr
Fedura Ovav | tr
Fedura Sendal | tr
Fedura Sethan | vanilla
Fedura Sindala | tr
Fedura Varam | tr
Feduran Tharen | tr
Feduran Vandal | tr
Felani Iannus | tr
Felara Andrethi | vanilla
Felara Thimalvel | vanilla
Felara Uvayn | tr
Felase Salvu | tr
Feldrelo Sadri | vanilla
Feldsea Sarobar | tr
Felisa Ulessen | vanilla
Felise Nimathril | tr
Felisel Gavos | tr
Felmaru Aralas | tr
Felmaru Llendu | tr
Felmena Falavel | vanilla
Felmena Llendrano | tr
Felmva Mothandil | tr
Felmyne Ulven | tr
Felryne Hludri | tr
Felryne Marys | tr
Felsa Hleran | vanilla
Felsa Ildram | tr
Felsu Telas | vanilla
Felvi Asuro | tr
Felvi Ilsenim | tr
Felyna Sarem | tr
Felyni Dalano | tr
Fendelo Darothan | tr
Fenel Uvith | tr
Fenila Athalen | tr
Ferala Aranith | tr
Feralea Ramori | vanilla
Feras Berand | tr
Ferdyn Nerendus | tr
Ferena Deltyn | tr
Ferila Telano | tr
Ferise Varo | vanilla
Ferone Thalor | tr
Ferone Tistar | tr
Ferone Veran | vanilla
Fersi Andules | tr
Ferva Lerules | tr
Fervas Shulisa | tr
Fervsea Girothran | vanilla
Ferynu Indrano | vanilla
Ferynu Uveleth | tr
Ferynu Viri | tr
Fethera Andol | tr
Fethera Iluru | tr
Fevasa Ralen | tr
Fevasa Saryon | vanilla
Fevila Bethrano | vanilla
Feyne Adris | tr
Feyne Talaris | tr
Fiedas Urvayn | tr
Fiera Dathren | tr
Findesi Amora | tr
Finera Hloran | tr
Finia Garen | tr
Flaalsa Irano | tr
Folsa Daranith | tr
Folsaes Irathi | tr
Folsavi Tharyn | tr
Folsi Mareloth | tr
Folsi Thendas | vanilla
Folvalie Omalor | vanilla
Folyru Omis | tr
Fomesa Tharys | vanilla
Fonari Salor | tr
Fonas Retheran | vanilla
Fonase Bendalas | tr
Forenu Hloras | tr
Forvse Naran | tr
Forvse Nerethi | vanilla
Fothresa Aravel | tr
Fulvi Dren | tr
Furenis Andavel | tr
Furnemi Ilse | tr
Gadali Sarothril | tr
Gadali Vandal | tr
Gadani Arenim | tr
Gadani Pathavel | tr
Gadasu Serothan | vanilla
Gadave Darys | tr
Gadela Andus | vanilla
Gadela Sadralo | tr
Gadela Vadaryn | tr
Gadrasa Llervu | tr
Gadrisa Vabdas | tr
Gadyne Sarobar | tr
Gadyni Rethan | vanilla
Gadynl Uldyn | tr
Gadyranu Darethi | tr
Galas Drenim | vanilla
Galas Moran | tr
Galasa Nirethi | tr
Galasa Savas | tr
Galasa Uvayn | vanilla
Galdal Omayn | vanilla
Galdasa Adavrin | tr
Galdasi Thendas | tr
Galena Moren | tr
Galena Nosadri | tr
Galeri Adryn | tr
Galeri Uveleth | vanilla
Galero Andaram | vanilla
Galesa Arethi | tr
Galisa Andrano | tr
Galmera Talar | tr
Galore Salvi | vanilla
Galotha Sareloth | tr
Gals Tenim | tr
Galsa Gindu | vanilla
Galsia Nerendas | tr
Galsia Romayn | tr
Galso Ramarys | tr
Galsu Indalas | tr
Galsu Merith | tr
Galsu Tedas | vanilla
Galu Feldrayn | tr
Galur Veran | tr
Galuro Belan | vanilla
Galvena Thelvil | tr
Galvene Hledri | tr
Galvene Othrobar | vanilla
Galvenu Galren | tr
Galvenu Telesi | tr
Galvi Arano | tr
Galvisi Goran | tr
Galviso Heran | vanilla
Galyn Arvel | vanilla
Gami Nervion | tr
Gami Selvayn | tr
Gandela Dralor | tr
Gandela Indoran | vanilla
Gandosa Arobar | vanilla
Gandosa Vinden | tr
Garalo Andalas | vanilla
Garalo Saram | tr
Garas Seloth | vanilla
Garila Delvarrapal | tr
Garila Vedas | vanilla
Gariru Aren | tr
Garyne Selos | tr
Garyne Uvenim | vanilla
Gavisi Thelas | tr
Gavyna Abanis | tr
Gelan Norvayn | tr
Gelvu Andas | tr
Gena Mansenat | tr
Gersuni Felrem | tr
Gila Mundrano | tr
Gilara Fardan | tr
Gildra Hlervu | tr
Gilmira Dersu | tr
Gilsa Maren | tr
Gilse Areth | tr
Gilse Dalvani | tr
Gilse Darethi | vanilla
Gilse Ilvi | tr
Gilse Lladri | tr
Gilse Turil | tr
Gilsi Aryn | tr
Gilvara Fels | tr
Gilvena Llaran | tr
Ginadura Andrethi | vanilla
Gindrala Dorenith | tr
Gindrala Fels | tr
Gindrala Hleran | vanilla
Gindrala Mels | tr
Gindrala Nethri | tr
Girara Teran | vanilla
Girasie Ovalyn | tr
Girva Arns | tr
Girva Madram | tr
Girvani Sedas | vanilla
Girynu Gilnith | vanilla
Givesa Feran | tr
Godyna Nirandil | tr
Godyna Thendas | tr
Golana Althrom | tr
Golana Giralvel | vanilla
Golmerea Othravel | vanilla
Golmeri Lladrys | tr
Golsea Orando | tr
Golveso Senim | vanilla
Golvyni Faryon | vanilla
Gomeso Sarano | vanilla
Gona Veloth | tr
Gorenea Andrano | vanilla
Gorvelo Sethril | tr
Gorven Menas | vanilla
Guldrise Dralor | vanilla
Gulena Girith | vanilla
Gulena Uvalas | tr
Gulvilie Arinith | vanilla
Gulvu Dreth | tr
Gureryne Llervu | tr
Gynisi Sarvayn | tr
Hainab Abalkalwa | tr
Hairan Mannanalit | vanilla
Halana Nethril | tr
Haleneri Salor | vanilla
Halvu Balathren | tr
Hanarai Assutlanipal | vanilla
Hania Methun | tr
Hannabi Zabynatus | vanilla
Hannasha Zanumun | tr
Hansi Saharnatturapli | vanilla
Hanu Drelas | tr
Haran Llevara | tr
Hassanda Lendeth | tr
Hekka Gildaren | tr
Helveru Nerethi | tr
Helyna Adas | tr
Hemna Falen | tr
Herea Nerthul | tr
Heryna Gavyn | tr
Hetman Arenim | tr
Hetman Envano | tr
Hetman Falden | tr
Hetman Llothas | tr
Hetman Llothro | tr
Hetman Thilarvel | tr
Hetman Urys | tr
Hilena Ravel | tr
Hinabibi Kulun | tr
Hinummu Siddurnanit | vanilla
Hired Killer | tr
Hirelmu Furam | tr
Hirta Melna | tr
Hlana Droryn | tr
Hlana Mothran | tr
Hlana Veren | tr
Hlanala Arathan | tr
Hlani Diren | tr
Hlani Varan | tr
Hlarane Radas | tr
Hlarusa Furam | tr
Hlarven Redis | tr
Hlava Daveleth | tr
Hlavora Gilnith | tr
Hlavora Odrano | tr
Hlavora Sadas | vanilla
Hlavora Seloth | tr
Hlavora Tilvur | tr
Hlendrisa Farano | tr
Hlendrisa Seleth | vanilla
Hleneru Dras | tr
Hlenia Faledran | tr
Hlense Aviroth | tr
Hlera Lloram | tr
Hlera Velo | tr
Hlevaaru Elval | tr
Hlevala Madalvel | vanilla
Hlireni Indavel | vanilla
Hlodala Savel | vanilla
Hlura Omayn | tr
Hlura Valden | tr
Hurina Tharys | tr
Huryla Naveni | tr
Ibanammu Assutladainab | vanilla
Iddisi Zairbael | tr
Idera Bethendas | tr
Idera Veralor | tr
Idesa Gilvani | tr
Idra Uvalen | tr
Idrena Velothan | tr
Idrenie Nerothan | vanilla
Idrenie Odalyn | tr
Idrerayna Andalor | tr
Idrila Areth | tr
Idronea Sadri | vanilla
Idroru Saravel | tr
Idroso Menas | tr
Idroso Vendu | vanilla
Idruvi Naran | tr
Idula Dordil | tr
Idula Moren | vanilla
Idula Sadri | tr
Idura Voron | tr
Ienaru Hlaalu | tr
Ienasa Llothil | tr
Ienasa Radas | vanilla
Ienase Relnim | vanilla
Ienaso Adren | vanilla
Ienni Drothril | tr
Ieva Llori | tr
Ilaru Daras | tr
Ildari Dorvi | tr
Ildari Favel | tr
Ildaru Andarys | tr
Ildi Nevenen | tr
Ilenu Llori | tr
Ilerni Hleran | tr
Ilethi Adavrin | tr
Ilethi Maro | tr
Illa Meril | tr
Illene Teloth | tr
Ilmana Dalothran | tr
Ilmanu Veleth | tr
Ilmari Tuveloth | tr
Ilmeeni Henim | tr
Ilmeni Bendalos | tr
Ilmeni Dren | vanilla
Ilmeni Thelvil | tr
Ilmenu Baris | tr
Ilmesi Adryn | tr
Ilmse Muren | tr
Ilmyna Adas | tr
Ilmyna Hlaalu | tr
Ilmyna Romoren | vanilla
Ilnara Hlen | tr
Iluri Trandel | tr
Ilvora Sarathram | tr
Iman Zabaal | tr
Imaris Orlano | tr
Imeni Volor | tr
Imeyra Mervys | tr
Indene Othravel | tr
Indoril Beroth | tr
Indrasa Velador | tr
Indrasi Dovayn | tr
Indrele Rathryon | vanilla
Indrele Senoril | tr
Indresea Felder | tr
Indriri Feleryn | tr
Indriri Terilu | tr
Indriri Veram | tr
Inera Arenim | tr
Inera Faryon | vanilla
Inera Ilneram | tr
Inera Salvel | tr
Inera Therethi | tr
Inera Volyn | tr
Ineri Darvu | tr
Inerisa Tharys | tr
Inisa Berano | tr
Inise Llarvu | tr
Iranil Mavus | tr
Irea Silvin | tr
Irele Nathryon | tr
Irilyn Aran | tr
Irna Maryon | vanilla
Irnami Silsi | tr
Irusa Sanys | tr
Irva Famori | tr
Irva Sedrethi | tr
Irvama Othrelas | vanilla
Irvama Raledran | tr
Irvani Vedas | tr
