# Dark Elf Male NPCs
# Format: Firstname Lastname | source (vanilla or tr)

Bratheru Oran | vanilla
Brathus Dals | vanilla
Brathus Henim | tr
Bravosi Henim | vanilla
Braynas Dals | tr
Braynas Hlervu | vanilla
Braynas Llaren | tr
Brelan Drethos | tr
Brelar Andas | vanilla
Brelar Aradil | tr
Brelar Gildaren | tr
Brelerun Overin | tr
Brelin Thevur | tr
Brelo Arvith | tr
Brelo Athelvis | vanilla
Brelor Drem | tr
Breloris Vedralu | tr
Brelur Tian | tr
Brelyn Adram | tr
Brelyn Dreloth | tr
Brelyn Falethram | tr
Brelyn Indarys | vanilla
Brelyno Doves | tr
Bren Galdis | tr
Brerama Selas | vanilla
Breran Hloril | tr
Brethas Beleth | tr
Brethas Deras | vanilla
Brethis Girvu | tr
Brevas Daravel | tr
Breves Omoril | vanilla
Breves Sadenthas | tr
Breynis Faryon | vanilla
Breynis Nedalor | tr
Breyns Othravel | vanilla
Breyns Randas | vanilla
Brilnas Vadryon | tr
Briras Abalor | tr
Briras Indules | tr
Briras Tyravel | vanilla
Broder Garil | vanilla
Broris Fals | vanilla
Brothes Oran | vanilla
Buls Barys | tr
Bumayn Arethis | tr
Buoyant Armiger | vanilla
Burul Llaram | tr
Cabrinth Dven | tr
Cadal Taaldrun | tr
Calbin Ragis | tr
Caras Tisaro | tr
Carath Denelu | tr
Cerul Arnem | tr
Chusin Harnalak | tr
Colys Maradar | tr
Conoon Chodala | vanilla
Corvan Llenthis | tr
Crazy-Legs Arantamo | vanilla
Cultist of Boethiah | tr
Daeril Romaren | tr
Dakin Kuntarnammu | vanilla
Dalam Faravel | tr
Dalam Gavyn | vanilla
Dalam Hleray | tr
Dalam Marys | tr
Dalam Ramaran | tr
Dalam Rethre | tr
Dalamus Uvulas | tr
Daldur Irival | tr
Daldur Sarys | vanilla
Daldur Selonir | tr
Dalim Velandas | tr
Dalin Kren | tr
Dalmil Umalor | tr
Dalmil Varen | vanilla
Dalms Dalobar | tr
Dalomar Heredon | tr
Dalos Golathyn | vanilla
Dalos Olethan | tr
Dalosil Lledas | tr
Dals Sadri | vanilla
Dalus Thaleran | tr
Dalvor Fadras | tr
Dalvus Erendi | tr
Dalvus Helothran | vanilla
Dalvus Raran | tr
Damilo Athones | tr
Damilo Tilvur | tr
Danar Dalomo | vanilla
Dandras Savas | tr
Danel Indaren | vanilla
Danel Lliran | tr
Daneras Dalvilu | tr
Danim Methis | tr
Danoso Dunsalipal | tr
Danryn Indo | tr
Dansil Urethan | tr
Danus Amori | tr
Danvas Ilvi | tr
Danylo Rathonys | tr
Danys Sadryon | tr
Daral Thireloth | vanilla
Daramus Hleray | tr
Daras Aryon | vanilla
Daras Berathi | tr
Darashi Mernil | tr
Darav Ollan | tr
Darayn Halaran | tr
Dardas Sarvayn | tr
Daren Adryn | vanilla
Darenith Minvar | tr
Darer Ilnith | tr
Dareth Rareles | tr
Daris Adram | vanilla
Darith Garsun | tr
Dark Brotherhood Assassin | tr
Darlas Vildan | tr
Darns Llethones | tr
Darns Tedalen | vanilla
Daroder Helni | vanilla
Daros Andran | tr
Daros Vari | tr
Darrem Indavil | tr
Dartha Nandilos | tr
Dartham Garil | tr
Dartis Dreleth | vanilla
Dartis Seran | tr
Darvam Hlaren | vanilla
Darvas Dreth | tr
Darver Varano | tr
Darvon Golaren | tr
Darvyn Trothas | tr
Darvys Vules | tr
Daryn Taroth | tr
Daryn Tharis | tr
Daryn Vedralu | vanilla
Daryos Varen | tr
Dason Vores | tr
Dastas Viake | tr
Dather Manel | vanilla
Dathus Selvilo | vanilla
Dathus Vedrano | tr
Dathus Veralan | tr
Davas Alam | tr
Davas Aralas | vanilla
Davas Hler | tr
Davas Ramaran | tr
Davenas Vedralu | tr
Davis Nelaram | vanilla
Davor Indri | tr
Davras Ilnith | tr
Davur Farralas | tr
Davur Githendas | vanilla
Daynas Arvel | tr
Daynes Redothril | vanilla
Daynil Farandas | vanilla
Daynil Marvani | tr
Dayns Brenur | tr
Dedave Atherayn | tr
Dedave Nalyn | tr
Dedave Vendalas | tr
Delamus Andary | tr
Delasi Llothin | tr
Deldor Arethi | tr
Delmon Famori | vanilla
Delmon Gindu | tr
Delmus Dalis | tr
Delmus Farys | tr
Delmus Rurvyn | vanilla
Delnar Velothan | tr
Delos Arvayn | tr
Dels Famori | tr
Dels Ravyn | tr
Dels Sur-Enaren | tr
Dels Tilvur | tr
Delthi Mironen | tr
Delvam Andarys | vanilla
Delvam Saryon | tr
Delvas Omaril | tr
Delvus Amori | tr
Delvyn Gavethi | tr
Delvyn Guraneth | tr
Delvyn Orvalith | tr
Demyn Telandas | tr
Dendras Relvi | tr
Denus Rondas | tr
Deram Drelas | tr
Deras Girando | vanilla
Deren Llethros | tr
Deril Drevin | tr
Deris Androth | tr
Derlas Olvani | tr
Dermys Belothan | tr
Deros Malur | tr
Deros Relenar | tr
Derush Minen | tr
Dervas Sarvel | tr
Dervis Vidron | tr
Dervur Neladren | tr
Dethral Ginith | tr
Dethresa Saren | vanilla
Deval Beleth | vanilla
Deval Hervoran | tr
Deval Suth | tr
Deval Telvani | tr
Devas Irano | vanilla
Devas Terano | tr
Devyn Salam | tr
Dilnar Llenim | tr
Dils Aramo | tr
Dils Heladren | vanilla
Dils Rothalnim | tr
Dils Sadri | tr
Dilvam Hlaren | tr
Dinor Hledri | tr
Dinor Thilandas | vanilla
Dinuro Aravel | tr
Diram Beldros | tr
Dirath Tras | tr
Direl Delyn | tr
Direm Llathen | tr
Diren Methra | tr
Direr Arano | vanilla
Direr Velendas | vanilla
Diril Davus | tr
Diseased Wretch | tr
Disvur Bereth | tr
Dithres Nethril | tr
Divath Nenadil | tr
Divayth Fyr | vanilla
Dohna Bethalas | tr
Dohna Nelor | tr
Dolami Saren | tr
Dolar Larethi | tr
Dolms Llado | tr
Dolms Sendalas | tr
Dolms Veri | tr
Dolmyn Adayne | tr
Dolmyn Sadri | tr
Dolmyn Thirelas | vanilla
Dolor Draven | tr
Dolrem Pares | tr
Dolvin Benoth | tr
Dolvys Teloth | tr
Dolyn Rols | vanilla
Dolyn Terano | tr
Dolyn Thalotheran | tr
Dolyn Volor | tr
Dondos Driler | vanilla
Donen Salmyn | tr
Donus Verelnim | tr
Doril Indanyon | tr
Dorlu Helan | tr
Doryn Daladas | tr
Doryn Helvi | tr
Doryn Naves | tr
Doval Rarayn | tr
Dovaryn Terendas | tr
Dovas Thelar | tr
Dovel Irenith | tr
Doves Athryon | tr
Doves Silvin | tr
Dovis Radreno | tr
Dovor Androth | tr
Dovor Romori | tr
Dovres Falen | tr
Dovres Salvi | tr
Dovres Sarothran | tr
Dovres Verethi | vanilla
Dovyn Sadri | tr
Draan Solobar | tr
Dral Thiravyn | tr
Dralas Damori | tr
Dralas Felms | tr
Dralas Gilu | vanilla
Dralas Vando | tr
Dralen Fols | tr
Dralnas Virian | tr
Dralos Davor | tr
Dralos Velendas | tr
Dralothas Omothran | tr
Drals Hler | tr
Dralval Andrano | vanilla
Dralval Inlador | tr
Dram Bero | vanilla
Dram Drinith | tr
Dram Marvos | tr
Dramis Maryon | vanilla
Dramis Vendal | tr
Drams Alev | tr
Dran Hlesas | tr
Dranas Adrys | tr
Dranas Dradas | vanilla
Dranas Sarathram | vanilla
Dranas Thamori | tr
Drandryn Githendas | tr
Drandryn Omoran | vanilla
Dranos Aralas | tr
Dranos Raram | tr
Dranos Sandus | vanilla
Drarayne Girith | vanilla
Drarayno Thalas | tr
Drarel Andus | vanilla
Draren Oril | tr
Draren Thiralas | vanilla
Draron Benelas | vanilla
Drarus Berano | vanilla
Drarus Mevel | tr
Drarus Savrethi | tr
Draryn Almathren | tr
Draryn Andrano | vanilla
Draryn Berathi | tr
Dras Varethi | tr
Drathas Llenim | tr
Drathel Gilvani | tr
Drathyn Andavel | vanilla
Drathyn Lladris | tr
Draval Vashi | tr
Dravas Ulvayn | tr
Dravasa Andrethi's  | vanilla
Dravil Bradyn | tr
Dravil Omavel | vanilla
Dravos Turil | tr
Draythen Remereth | tr
Draythen Uvenim | tr
Dredase Arvel | vanilla
Dredase Devani | tr
Drelam Arns | tr
Drelas Salvor | tr
Drelayn Dredayn | vanilla
Drelayn Herandus | tr
Drelden Dalis | tr
Drelden Fererus | tr
Drelegor Ulesseth | tr
Drelen Pontys | tr
Drelis Githrano | tr
Drelis Ondyn | vanilla
Drelom Erethan | tr
Dreloth Relas | tr
Drels Ronen | tr
Drels Urns | tr
Drelse Dralor | vanilla
Drelur Roms | tr
Drem Seloth | tr
Drenar Valeth | tr
Drenus Hethravel | tr
Drerayn Relethran | tr
Drerayn Sedri | tr
Drerel Indaren | vanilla
Drero Eram | tr
Dreryth Vedas | tr
Drevam Hloren | tr
Drevyl Gobor | tr
Dreynis Farvethi | tr
Dreynis Nothro | vanilla
Dreynis Teran | tr
Dreynos Elvul | vanilla
Dreynos Helvi | tr
Dreynos Hlor | tr
Dreynos Varis | tr
Dreyns Nelas | vanilla
Dreyns Telmon | vanilla
Dreyns Vandus | tr
Dridas Neleth | tr
Dridas Orthil | tr
Dridas Salvani | vanilla
Dridyn Berethi | vanilla
Drils Mareth | tr
Drimsu Gindol | tr
Drinar Hledas | tr
Drinar Varyon | vanilla
Drithnil Valen | tr
Drithnil Virith | tr
Drivos Llarys | tr
Drodos Galen | vanilla
Drolam Minirath | tr
Drolam Vano | tr
Drolan Omothan | tr
Droler Drom | tr
Drols Varyn | tr
Drondar Verelas | tr
Dronos Heleran | tr
Dronos Llervu | vanilla
Drores Arvel | vanilla
Droth Arelu | tr
Droval Aralayn | tr
Drovas Rethan | tr
Drovas Uvaril | tr
Druls Braven | tr
Drulvan Rindo | vanilla
Dryan Theris | tr
Duke Fethas Hlaalu | tr
Duke Vedam Dren | vanilla
Dulam Turith | tr
Duldrar Ralaal | tr
Duldrar Saren | vanilla
Duldres Herendal | tr
Duln Sirev | tr
Dulnos Sarvayn | tr
Dulun Varethi | tr
Dun Akhul | tr
Dun-Ilu Assurnumausur | vanilla
Dunel Githrano | tr
Dunel Saryon | vanilla
Dunel Varys | tr
Dunsalipal Dun-Ahhe | vanilla
Dunveri Rodran | tr
Duram Balvel | tr
Duram Salandys | tr
Duren Redoril | tr
Dyleso Sadri | tr
Dyras Omoril | tr
Eberys Vendu | tr
Ebuherra Anupli | tr
Edd \"Fast Eddie\" Theman | vanilla
Edhryn Farothran | tr
Edrano Vedas | tr
Edras Marvon | tr
Edras Oril | vanilla
Edril Gilvilo | tr
Edril Marvayn | tr
Edril Ulemis | tr
Edril Vules | vanilla
Edrin Helas | tr
Edryon Rorvan | tr
Elam Adryn | tr
Elam Andas | vanilla
Elam Girneth | tr
Elammu Andrani | tr
Elammu Serith | tr
Elammus Therayn | tr
Elar Fandas | tr
Elaras Rivul | tr
Eldas Urns | tr
Elder Rethan | tr
Eldil Bradyn | vanilla
Eldrar Fathyron | vanilla
Eleren Llethros | tr
Elethus Tobor | vanilla
Elhul Falaal | tr
Elibael Puntumisun | vanilla
Elms Doren | tr
Elms Llervu | vanilla
Elnar Llenim | tr
Elo Arethan | vanilla
Elo Bolum | tr
Elo Falas | tr
Elos Uvelen | tr
Elrethi Drosan | tr
Elunem Thesan | tr
Elvas Mathrano | tr
Elvas Otheri | tr
Elvas Relarys | tr
Elvas Savel | vanilla
Elvil Vidron | vanilla
Emeth Olvil | tr
Enar Dothan | tr
Enar Draav | tr
Enar Dralor | vanilla
Enar Helothran | tr
Enar Releth | vanilla
Enar Salavel | tr
Enar Sothran | tr
Enarvy Balvel | tr
Enarvyne Varis | tr
Endar Drenim | vanilla
Endar Faram | tr
Endras Avur | tr
Endril Gilveni | tr
Endris Dilmyn | vanilla
Endris Romori | tr
Endris Seruli | tr
Endros Dilmyn | tr
Endryn Llethan | vanilla
Endryn Ralvas | tr
Endul Andrelo | tr
Endul Rothandus | vanilla
Endures Nalyn | tr
Enipu Timmiran | tr
Eno Darnal | tr
Eno Hlaalu | vanilla
Eno Malvayn | tr
Eno Rothalen | tr
Enoros Saren | tr
Enthis Folvyn | tr
Enthis Helas | tr
Envil Themelu | tr
Eraan Nilhalus | tr
Eralas Raram | tr
Eramar Siramsan | tr
Erandes Lirvu | tr
Eranea Maravil | tr
Eraris Hludri | tr
Erathel Ondres | tr
Eraven Arns | tr
Erdlan Galelan | tr
Erebil Horaren | tr
Erebil Sethril | tr
Erelis Ilnim | tr
Erendas Senatam | tr
Erene Llenim | vanilla
Erene Reloro | tr
Erer Darothril | vanilla
Erer Savil | tr
Eresu Bisbammal | tr
Erethys Omavel | tr
Ereven Baryl | tr
Ereven Peronys | tr
Ereven Resvalyn | tr
Ereven Teloth | tr
Ereven Velas | vanilla
Eril Nimras | tr
Erilen Rothalor | tr
Erilul Munderyn | tr
Eris Baren | tr
Eris Telas | vanilla
Ernil Narethan | tr
Ernil Omoran | vanilla
Erns Alar | tr
Erns Maren | vanilla
Ero Endravel | tr
Eron Romandas | tr
Eros Othran | tr
Erul Bandu | tr
Ervan Indrano | tr
Ervas Aradil | vanilla
Ervas Dalveni | tr
Ervas Salitbael | tr
Erver Drinith | tr
Erver Lalansour | tr
Ervis Ules | vanilla
Ervul Dranoth | tr
Eryn Salnim | tr
Erys Ginith | tr
Erys Mundrethi | tr
Esar-Don Dunsamsi | vanilla
Eshezael Yatherenammu | tr
Esib-Nummu Assunudadnud | vanilla
Esibarrasour Maru | tr
Ethaso Arendus | tr
Ethaso Athones | tr
Ethaso Faravel | tr
Ethaso Nothren | tr
Ethes Evos | vanilla
Ethes Llathil | tr
Ethier Regradas | tr
Ethil Dilmyn | tr
Ethrus Elval | tr
Ethys Savil | vanilla
Etras Llendeno | tr
Eulam Reveth | tr
Eumor Dolvi | tr
Evaron Pelvaris | tr
Evis Drathen | tr
Evoh Ulessen | tr
Evos Goran | vanilla
Evos Teran | tr
Evul Baloro | tr
Evulen Hlaalu | tr
Evur Geryon | tr
Face Stealer | tr
Faceless Dunmer | tr
Faceless Man | tr
Fadar Berendus | tr
Fadar Elarven | tr
Fadrel Orvelo | tr
Fadren Dalis | vanilla
Fadren Terandas | tr
Fadril Faren | tr
Fadril Relas | tr
Fadril Tharyn | tr
Fainat Masiriran | tr
Falam Hlaalu | vanilla
Falas Andrano | tr
Falas Emalen | tr
Falas Ostan | tr
Falas Othril | tr
Faldrim Volas | tr
Faldrus Nedalor | tr
Faleren Ulver | tr
Falino Hludri | tr
Falnas Andesi | tr
Falso Llanith | tr
Falso Sadrys | vanilla
Falsul Renora | tr
Falsyn Indobar | tr
Falvel Arenim | vanilla
Falvel Heleran | tr
Falveryn Kren | tr
Falvis Girando | tr
Falvis Tunel | vanilla
Falvys Rothalas | tr
Falvys Teryon | tr
Famis Erethan | tr
Fanas Vediro | tr
Faras Athren | tr
Faras Omayn | tr
Farel Sadrethi | tr
Farelos Ondyn | tr
Faris Orothil | tr
Farol Baren | tr
Farul Sarayn | tr
Farvam Faram | vanilla
Farvam Ienith | tr
Farvil Madryen | tr
Farvs Valaro | tr
Farvyn Arendu | tr
Farvyn Dreloth | tr
Farvyn Oreyn | vanilla
Fasil Andrano | tr
Fasil Dran | tr
Fathalas Romalen | tr
Fathen Drel | tr
Fathis Brelur | tr
Favas Nilem | vanilla
Favel Gobor | vanilla
Favel Seles | tr
Faven Arns | vanilla
Faver Seran | vanilla
Faves Andas | vanilla
Favil Baldan | tr
Favos Avethi | tr
Favryn Dareleth | tr
Fedar Andalym | tr
Fedar Davus | vanilla
Fedas Adras | tr
Fedaves Othrendu | tr
Fedril Verothran | tr
Fedrin Adlan | tr
Fedris Lladri | tr
Fedris Nelavyn | tr
Fedris Tharen | vanilla
Fedryn Morvayn | tr
Feduro Daranith | tr
Felayn Andral | vanilla
Feldil Vulunith | tr
Feldril Sathis | tr
Feldryn Tero | tr
Felen Gimothran | tr
Felen Maryon | vanilla
Feles Lladri | tr
Feles Modril | tr
Felisi Serano | vanilla
Felmo Enlaris | tr
Felmo Ilveroth | tr
Felms Sendas | tr
Feloryn Dovayn | tr
Felos Baradan | tr
Felos Hlervi | tr
Felos Melethi | tr
Felrar Berathi | tr
Felres Narlis | tr
Felres Nerlenis | tr
Fels Daryno | tr
Fels Llelan | tr
Fels Nerethi | tr
Felsen Rathren | tr
Felsen Shandasi | tr
