# Imperial full names from Project Cyrodiil
# Used for duplicate checking

Accius Emnor
Gnaea Ellerian
Gnaeus Barossa
Grito Pania
Gualva Catraso
Gurnius Talanian
Halan Macrinus
Harminia Daranith
Hartius Tolius
Hasilius Brahn
Hastophos Velifer
Helina Portus
Helrus Jeral
Hephimus Sansalas
Herconius Jandacia
Herdonia Varan
Heria Vassina
Hermea Artea
Hessia Gracco
Hestalia Olto
Hestus Barabela
Hilos Stecria
Horanus Valorius
Horatia Statilius
Horato Flesias
Horrav Abascus
Horrav Currus
Horrav Fillipian
Horrav Iascus
Horulia Tappo
Horusia Luctor
Huegon Ipastalan
Humilis Acicius
Hyponea Scinia
Hyrmiel Farragian
Iannus Anser
Iborus Trascus
Idessia Jucanus
Idonea Onus
Iesia Proceno
Ignatius Jureilius
Igolona Senyan
Ilana Severn
Ildana Antellius
Ildonis Faleni
Ildonis Peltus
Ildonis Vicuvis
Iletia Hemania
Ilnora Pelelius
Imperial Mananaut
Ionas Callodus
Ioseptha Auriil
Iration Jucanis
Irene Pelenitus
Iribius Flareus
Irius Halex
Isia Civeran
Istatunnio Ivos
Itia Osiccia
Iullina Harquart
Iustus Gabentius
Jacchia Denter
Jacchus Farragian
Jana Livia
Janas Malirus
Jannav Miranus
Janonia Camerinus
Janonia Melitus
Jastira Vettiena
Jastta Nivellus
Jaxus Vonarus
Jeras Ticedo
Jonas Artorius
Juilecca Suvia
Juldona Mero
Julian Arontus
Julius Percipius
Juncinus Merx
Juratula Fenoccio
Kaie Aeresius
Kalan Gurius
Karandia Corrux
Karlius Princeps
Kartus Reconius
Kastav Munia
Kastus Folvius
Kritius Aretino
Kulia Sansalas
Kventus Lucilius
Kvinius Jorval
Kyla Carlinus
Lacchius Kalto
Ladia Tunifus
Ladiaia Guarnia
Lanaria Fulvius
Lanasa Vidanes
Lancen Pariclopetus
Lanoria Munia
Laonia Berno
Lara Filmona
Larienna Strabo
Larina Lutia
Larsiand Stilus
Larus Caepo
Lattia Crunus
Laudio Carus
Lavalus Tripitus
Layla Simicus
Lecitia Nerus
Leius Corsus
Lelu Velald
Lenoria Flutius
Leonus Luca
Letrius Mardus
Levreius Secunia
Lianus Adergulus
Linia Trellus
Linno Javettubia
Lissinia Bax
Litemus Bero
Livonia Callidus
Lora Avis
Lucia Mor
Lucien Servano
Lucina Roran
Lucinia Strilla
Lucius Chranis
Lucius Cosellus
Lucravius Fascius
Lucrete Ponius
Lupica Gedanis
Lurelius Ricchen
Lurius Rufus
Lyanna Ismal
Lysenia Rethelius
Lysima Venitus
Madala Ceno
Maeva Rarian
Mannius Selus
Mantra Halia
Maphix Ovimus
Marcellus Viatus
Marcius Arius
Marcius Geta
Marcus Atris
Marcus Bennelus
Marcus Conciatius
Marcus Reprus
Marcus Tabern
Marcus Tarlo
Marelia Grasia
Margia Sycora
Maria Afrana
Marilus Arjus
Marja Iannus
Marlena Direnus
Marlena Furotis
Maron Arluna
Martia Velurius
Marus Flavos
Marus Selitus
Marvus Termian
Maryn Obert
Mavor Nivellus
Maxilien Blasio
Medenia Ardasia
Melia Aurivia
Memistean Fellux
Menervius Venius
Menie Perius
Merias Tolode
Merias Tolor
Merius Jades
Mero Maro
Merro Galvix
Merronia Tila
Mertius Florius
Merxia Vendicci
Miles Satulio
Mobus Baraci
Modenia Jubina
Molossus Kvinchal
Molvar Crito
Molvirian Flavus
Moren Silanus
Morio Stulti
Moritius Albus
Mortenius Becca
Murberius Caudex
Murio Clavian
Musa Talania
Musius Ferola
Nadia Imprimus
Narus Hermalian
Naspia Trasius
Nastasia Albattia
Natis Velontia
Nemmo Arthaler
Nero Broder
Nilia Oranata
Nolullis Vandarian
Nolus Atrius
Nonicus Aldor
Nurela Ucasea
Nurion Tilerius
Nystera Uphenosia
Oberius Vulso
Ocha Darothril
Octavia Maris
Oderius Blonia
Odunia Hare
Old Kassius
Omius Crosus
Ordo Cradus
Oricus Alerix
Orto Rumaria
Osricus Callanius
Othos Sertorius
Otius Helbinius
Otrebus Delagia
Ovidus Dontor
Padulius Voltandus
Pallatia Prentus
Pallia Virsa
Panaia Tritius
Panthius Varin
Panundus Marilien
Paranemisia Apher
Paratus Barbula
Parienna Amalius
Parilus Erinian
Parulius Francius
Peladia Varousha
Pelitilius Corruvian
Percan Truptor
Percian Lusinus
Percius Berano
Perenius Varach
Perevaine Narragu
Pero Tyrolian
Phedre Briricca
Phrasus Loximus
Pitus Ilvina
Plinus Ludoviil
Pliton Sialius
Plutus Ceno
Pogonophilus Luctor
Polius Tertius
Polucius Dim
Pompeia Dolabella
Pontian Decolvus
Pontius Golius
Ponus Aruncio
Porcilla Dythos
Prallia Cnisia
Protio Calvisus
Proventus Dectus
Pulso Pollex
Pustula Mero
Pyrrhus Andamander
Qastas Aerethius
Quenta Cuptienus
Quentin Bruiant
Quercia Robura
Quercus Duro
Querilio Uvigios
Quimber Delatus
Quinctius Maelius
Quirinus Vipter
Qyntos Mor
Ralten Affinia
Ralus Algrus
Rancius Osto
Rarius Aldonus
Renee Locutius
Renixia Vedius
Rentius Emnor
Rexus Harsinia
Ria Granacia
Rialto Vendicci
Rista Ausonia
Ristina Perius
Ritaria Gravia
Rogatus Cipius
Romana Sullius
Romus Criol
Ronus Yridius
Rosia Valo
Rucalia Vaspanian
Ruccia Gallo
Ruma Soanix
Rumus Stannicus
Rusilla Cilius
Sabinus Vanceo
Sabrina Cines
Saccius Bastis
Saenus Dibuntus
Salira Proculla
Salius Magrodius
Sallus Pepander
Salona Succus
Salvius Arcafex
Samera Varrus
Scelian Granius
Sedyni Vatronius
Sela Delvencii
Seneclius Blavius
Senillos Tulnus
Sentius Veros
Sepro Grater
Sergianus Planicus
Sergius Antellius
Serpen Ordo
Servia Lattia
Servo Nierius
Severus Gemullus
Sidonius Polinarus
Silana Sentulus
Silandria Aspeus
Silanus Antonius
Silus Palenix
Sinarrius Autrinix
Sirgius Vile
Sirius Cinna
Sirius Termian
Solea Amnis
Solius Zenitarion
Somassia Ganocrin
Sona Pulexia
Stabby-Jak Merrus
Stanius Rufio
Stentius Mento
Stento Pasaennius
Strixus Sorvilius
Succius Orius
Sudia Prelius
Sylivia Asellus
Synell Gioranus
Taccia Fulmen
Taia Carnavian
Tapinius Macrion
Tappemius Vullius
Tarbus Norin
Tarpeius Ambustus
Tatius Quettius
Tatius Valius
Telrav Calvus
Telvus Peraniun
Temis Lorthus
Tennus Borgus
Termalian Orthus
Terrara Dorso
Tertitius Panelus
Thaisa Arkaniil
Thona Zayria
Threxia Sansalas
Tibera Rone
Tienius Cedus
Timentia Sax
Timeo Callonus
Tindalos Miranus
Tirandus Nesca
Tirill Vantius
Tirinia Malcus
Titus Lirinus
Tiunia Veltrus
Torcus Indarus
Torus Lusius
Torus Maridus
Travinus Ioclania
Tulciana Fastorus
Tullo Verotus
Turedus Esdrecus
Turo Attius
Tyliam Deolus
Tyrus Viducian
Ulla Danantia
Urien Poralia
Ursinius Corius
Valacca Prontia
Valenia Sorrich
Valgo Catius
Valgus Arquitius
Valkreia Krex
Valoria Autrinix
Valvius Matius
Vantus Arria
Vara Solius
Varia Terus
Varil Mercura
Varilus Amphanox
Vaselius Tunifus
Vasesius Lannus
Vax Carcharius
Vectus Macro
Velar Cradus
Venatria Salvo
Vencentius Mansinius
Verginius Marcius
Vermilius Vendicci
Verutus Braccia
Vesperia Nux
Vespertius Pertinax
Viania Claeni
Vianis Ulius
Vibius Serenus
Vibius Verturius
Vicenia Ginzo
Vilius Ralsus
Vincia Catiotus
Vinoria Clatian
Visetus Setoris
Vistienna Galnacius
Vistilia Sparilus
Vitelius Crudanian
Vittarion Albin
Vivera Rinusia
Voatrix Xania
Vodun Pelagia
Vodunius Nuccius
Volosius Phinio
Volrencia Tedissos
Votus Titonian
Vubius Mornius
Vycius Pitio
Wayrian Eulorius
Wilus Relcari
Xastos Evorissia
Xephania Bresso
Xotates Tulminian
Zalindwier Kostus
Zeno Carundus
